(0, (2.709054708480835, 8853))
(1, (2.5230512619018555, 8854))
(2, (2.4610633850097656, 8854))
(3, (2.3960533142089844, 8856))
(4, (2.3188605308532715, 8857))
(5, (2.2889039516448975, 8858))
(6, (2.266193151473999, 8858))
(7, (2.252453565597534, 8859))
(8, (2.302107572555542, 8860))
(9, (2.38224720954895, 8861))
(10, (2.4562125205993652, 8862))
(11, (2.6284048557281494, 16448))
(12, (2.686077356338501, 16449))
(13, (2.6781346797943115, 16450))
(14, (2.762338638305664, 16451))
(15, (2.879127025604248, 16454))
(16, (2.936464786529541, 16455))
(17, (2.987495183944702, 16456))
(18, (3.033505916595459, 16457))
(19, (3.115335702896118, 16458))
(20, (3.2497620582580566, 16459))
(21, (3.35068941116333, 16459))
(22, (3.4276177883148193, 16459))
(23, (3.602367401123047, 16460))
(24, (3.667947769165039, 23344))
(25, (3.512622833251953, 7139))
(26, (3.511256694793701, 7139))
(27, (3.5435731410980225, 7140))
(28, (3.8048782348632812, 7140))
(29, (4.010907173156738, 23348))
(30, (4.121313571929932, 23349))
(31, (4.268763542175293, 23351))
(32, (4.420650005340576, 23351))
(33, (4.597510814666748, 23352))
(34, (4.6838884353637695, 19203))
(35, (4.754796504974365, 19204))
(36, (4.766979217529297, 19205))
(37, (4.736880779266357, 19207))
(38, (4.587252140045166, 19208))
(39, (4.6213555335998535, 19209))
(40, (4.727954387664795, 19209))
(41, (4.900050163269043, 19210))
(42, (5.058784484863281, 19211))
(43, (5.168986797332764, 19212))
(44, (5.30556058883667, 19213))
(45, (5.4951677322387695, 19214))
(46, (5.666880130767822, 19216))
(47, (5.7454304695129395, 19217))
(48, (5.822337627410889, 19217))
(49, (5.9116291999816895, 19218))
(50, (5.983454704284668, 19219))
(51, (5.923990726470947, 4025))
(52, (5.909985542297363, 4026))
(53, (5.922802448272705, 4027))
(54, (5.945175647735596, 4028))
(55, (5.956529140472412, 4029))
(56, (5.91093635559082, 4030))
(57, (5.767086505889893, 14745))
(58, (5.57421875, 14746))
(59, (5.536187648773193, 14747))
(60, (5.481053352355957, 14748))
(61, (5.42294979095459, 14749))
(62, (5.314977645874023, 14751))
(63, (5.123436450958252, 12563))
(64, (4.927211284637451, 12564))
(65, (4.921634197235107, 12565))
(66, (4.938754081726074, 12566))
(67, (4.869778633117676, 12567))
(68, (4.839824199676514, 12568))
(69, (4.784701347351074, 14758))
(70, (4.689998149871826, 14759))
(71, (4.601959705352783, 14760))
(72, (4.534317970275879, 14761))
(73, (4.4695634841918945, 14762))
(74, (4.472750663757324, 14763))
(75, (4.4979143142700195, 14763))
(76, (4.465908050537109, 14765))
(77, (4.472930908203125, 14765))
(78, (4.46707010269165, 14767))
(79, (4.476883888244629, 14767))
(80, (4.500973224639893, 18045))
(81, (4.496222019195557, 18046))
(82, (4.514888286590576, 18046))
(83, (4.489337921142578, 30744))
(84, (4.427582740783691, 30745))
